Assunto,Corpo,Label
"Uma oportunidade empolgante espera pelo senhor - Verifique sua conta ""LoveConnection","Prezada Kimberly,

Esperamos que a senhora esteja bem com este e-mail.

Parabéns! A senhora foi selecionada a dedo com base nas classificações de compatibilidade do seu perfil para participar da nossa comunidade exclusiva, a ""LoveConnection"". No LoveConnection, temos orgulho de criar conexões significativas e oferecer uma plataforma segura de namoro on-line onde pessoas com a mesma opinião podem se conectar e encontrar o par perfeito. Chegou a hora de conhecer sua pessoa especial!

No entanto, antes que o senhor possa embarcar nessa jornada emocionante, precisamos verificar a sua conta para confirmar a sua intenção e fornecer-lhe os melhores pares. Sua privacidade e segurança são nossas principais prioridades, por isso essa etapa obrigatória. Estamos aqui para orientar o senhor durante esse processo.

Entre em contato conosco pelo telefone (865) 630-4266 para um breve, mas essencial, processo de verificação. Isso nos permitirá acesso imediato à sua conta para otimização. Lembre-se, o amor pode estar a apenas um telefonema de distância!

Por favor, recomendamos que o senhor aja rapidamente, pois esse convite infelizmente expirará em 48 horas. Não queremos que o senhor perca essa oportunidade por tempo limitado de encontrar seu par perfeito.

Mais uma vez, parabéns e esperamos ter notícias do senhor em breve!

Com os melhores cumprimentos,

Equipe LoveConnection
support@loveconnection.com

OBSERVAÇÃO: este e-mail e todos os arquivos transmitidos são confidenciais e destinados exclusivamente ao uso do indivíduo ou entidade a quem são endereçados. Caso o senhor tenha recebido este e-mail por engano, notifique o remetente.",Phishing
Oportunidade exclusiva de namoro: Atualização exigida pela DelightfulConnections!,"Prezada Mary,

Esperamos que a senhora esteja bem com este e-mail. Temos o prazer de informá-la que introduzimos uma oportunidade única de namoro exclusivamente para nossos valiosos membros, como a senhora. Esse programa, desenvolvido pela DelightfulConnections, tem como objetivo conectar a senhora com pessoas que pensam da mesma forma, com base em seus interesses preferidos.

No entanto, percebemos que alguns detalhes das suas informações pessoais de contato precisam ser atualizados para que a sua experiência seja perfeita e agradável. Por mais que queiramos começar a conectar o(a) senhor(a) com possíveis parceiros imediatamente, não poderemos fazê-lo a menos que suas informações de contato estejam atualizadas e precisas.

Para garantir que o senhor não perca essa fantástica oportunidade, pedimos que atualize suas informações de contato o mais rápido possível. Dessa forma, podemos garantir que todas as comunicações futuras, sugestões de parceiros e oportunidades de encontros personalizados cheguem ao senhor sem nenhum obstáculo.

Clique aqui para atualizar suas informações com segurança. O processo deve levar apenas alguns instantes, mas o senhor deve fazê-lo imediatamente para aproveitar ao máximo esse programa empolgante. Fique tranquilo, pois a privacidade dos seus dados é fundamental para nós e suas informações serão usadas apenas para melhorar sua experiência de usuário.

Agradecemos a atenção imediata do senhor a esse assunto. Mal podemos esperar para que o senhor comece a explorar essas conexões incríveis.

Muito obrigado,
Equipe da DelightfulConnections

Observação: Esta mensagem é destinada ao destinatário pretendido, Mary. Se o senhor a recebeu por engano, ignore e exclua o e-mail. A DelightfulConnections não pode ser responsabilizada pelo uso indevido desta comunicação por qualquer pessoa que não seja o destinatário pretendido.
",Phishing
"Importante! Alterações recentes na notificação de sua conta - Nexium Banking, Inc.","Prezado Sr. James,

Espero que o senhor esteja bem com este e-mail.

Estou entrando em contato com o senhor para informá-lo sobre uma atividade recente em seus registros de transações que não corresponde à sua atividade bancária habitual. Como cliente dedicado do Nexium Banking, priorizamos sua segurança financeira e privacidade acima de tudo.

Percebemos uma possível transação fraudulenta no dia 12 de março, no valor de US$ 673,80, atribuída a uma conta e entidade que não está normalmente associada ao seu histórico de transações. Para proteger seus interesses e seu dinheiro, suspendemos temporariamente essa transação.

Solicitamos a atenção imediata do senhor para esse assunto. Para sua conveniência e para garantir uma resolução altamente segura, anexamos um extrato detalhado da conta marcado como ""James_statement.pdf"". Observe que o senhor precisará ativar macros para visualizar o conteúdo completo do documento devido aos recursos de segurança incorporados no PDF.

Analise o extrato da conta e responda a este e-mail se o senhor identificar alguma discrepância. Caso a transação seja legítima e iniciada pelo senhor, confirme-a para que possamos processá-la o mais rápido possível.

Agradecemos a compreensão do senhor e sua pronta resposta a essa questão. Lembre-se de que estamos aqui para garantir que sua experiência bancária com a Nexium seja excelente e tranquila!

Com os melhores cumprimentos,
John Doe
Nexium Banking - Suporte ao cliente
""Banco confiável, sempre",Phishing
IMPORTANTE - Alerta de segurança urgente e atualização técnica - Ação do usuário necessária,"[Logotipo da GlobalTech Software]

Caro Tim,

Re: Aviso de atualização da conta da GlobalTech

Esperamos que o senhor esteja bem com esta mensagem.

Em nossos esforços contínuos para proteger suas informações e aprimorar sua experiência de usuário, implementamos uma grande atualização de segurança em nossa plataforma GlobalTech Software. Como parte das medidas de segurança aprimoradas, exigimos que todos os nossos usuários atualizem suas informações de contato antes do final do mês corrente.

OBSERVE - É necessário tomar medidas imediatas para evitar a interrupção do serviço.

Para concluir esse processo simples de atualização, clique no botão abaixo:
Update My Contact Information (Atualizar minhas informações de contato)

O link o levará a um formulário on-line seguro. Forneça suas informações de contato mais atualizadas. Fique tranquilo, pois a segurança de seus dados é nossa maior prioridade. Nossa criptografia atualizada garante que suas informações permaneçam protegidas e confidenciais.

Lembre-se de que a não atualização de seus registros antes do prazo final do serviço pode resultar na suspensão do acesso aos seus serviços da GlobalTech Software.

Agradecemos imensamente sua cooperação e compreensão. Se o senhor tiver outras dúvidas ou precisar de assistência, entre em contato com nossa equipe de suporte pelo e-mail support@globaltechsoftware.com e teremos prazer em ajudá-lo.

Obrigado por ser um membro valioso da nossa comunidade GlobalTech.

Com os melhores cumprimentos,


Equipe de suporte da GlobalTech Software
---------------------------------------------
Nunca compartilhe sua senha da GlobalTech com ninguém. Nossa equipe de suporte nunca a solicitará.
Este e-mail foi enviado automaticamente; as respostas a este e-mail vão para uma caixa de correio não monitorada.
Para entrar em contato com a GlobalTech Software, visite nossa central de suporte em globaltechsoftware.com/support.
GlobalTech Software ©2018. Todos os direitos reservados.",Phishing
URGENTE: Titanium Tech Solutions - Alerta de segurança e atualização tecnológica: ação imediata necessária!,"Prezado Geoffrey,

Na Titanium Tech Solutions, a segurança do senhor é a nossa maior prioridade. Temos o compromisso de oferecer a melhor proteção para os dados de nossos clientes. Por isso, gostaríamos de informá-lo sobre uma atualização tecnológica importante e um alerta de segurança associado à sua conta de usuário.

Isso é para notificá-lo de que houve um número sem precedentes de tentativas de comprometer a segurança de várias contas de usuário. Nossa equipe de segurança agiu rapidamente para neutralizar essas ameaças. Como medida de segurança adicional, estamos realizando um processo sistemático de verificação da conta do cliente.

 Geoffrey, solicitamos que o senhor confirme a segurança e o status ativo da sua conta ligando para a nossa linha de suporte dedicada 471.765.9180x23034. 

Forneça os detalhes de sua conta para verificação durante a chamada.

Este é um assunto urgente e recomendamos que o senhor não hesite em entrar em contato conosco. A demora pode colocar seus dados pessoais em risco.

Lembre-se de que o único canal autêntico pelo qual o senhor pode verificar sua conta para esse alerta é entrando em contato conosco pelo número de telefone fornecido.

Pedimos desculpas por qualquer inconveniente que isso possa causar, mas proteger seus dados digitais é fundamental para nós. Por favor, colabore conosco para tornar a Web mais segura para todos.

Obrigado, senhor.

Com os melhores cumprimentos,

John Doe,
Gerente de suporte ao cliente
Soluções Técnicas Titanium
Lembre-se: Mantenha-se seguro on-line! Sempre verifique a fonte antes de compartilhar informações pessoais.",Phishing
[Sua conta da GlobalNet Solutions requer ações imediatas,"De: GlobalNet Solutions <no-reply@globalnetsolutions.com>
[Banner/Logotipo da GlobalNet Solutions].

Prezada Mary,

Esperamos que esta mensagem encontre a senhora bem.

A GlobalNet Solutions se dedica a proteger sua privacidade e seus dados. No decorrer de nossas verificações de segurança regulares, iniciamos uma atualização completa em todo o sistema em resposta a um aumento sem precedentes de ameaças cibernéticas em redes de grande escala. Essa atualização exige ações imediatas de nossos usuários para garantir a segurança de seus dados.

Por isso, gostaríamos que o senhor verificasse os detalhes da sua conta para nos ajudar a protegê-la. Por favor, responda a este e-mail fornecendo as seguintes informações:

1. Nome completo
2. Endereço de e-mail registrado
3. Os dois últimos dígitos do número de sua conta

Observe que o senhor poderá ficar temporariamente impossibilitado de acessar sua conta se as informações solicitadas não forem fornecidas em tempo hábil. Pedimos desculpas por qualquer inconveniente que isso possa causar, mas acreditamos que a segurança de seus dados é fundamental.

Agradecemos a atenção imediata do senhor a esse assunto.

Obrigado, e o senhor fique em segurança.

Atenciosamente,

Robert West
Operações de Atendimento ao Cliente
Soluções GlobalNet

__________________________________________________________________

GlobaNet Solutions, protegendo sua vida digital!
Informações de contato: support@globalnetsolutions.com
Endereço: 1234 Main Street, Anytown, ST, 12345 EUA
Site: www.globalnetsolutions.com
[Logotipo da GlobalNet Solutions]

Isenção de responsabilidade: Esta mensagem contém informações confidenciais e destina-se apenas ao indivíduo indicado. Se o senhor não for o destinatário indicado, notifique imediatamente o remetente por e-mail caso tenha recebido este e-mail por engano e exclua-o do seu sistema.
",Phishing
Oferta VIP exclusiva: Verifique agora para aproveitar!,"Prezado Michael,

Estamos entusiasmados em trazer ofertas VIP exclusivas apenas para nossos estimados clientes do Premiere Banking Corporation. Sempre valorizamos nossos valiosos clientes, como o senhor, e estamos entrando em contato para apresentar uma oferta especial feita sob medida para o senhor. Um incrível aumento de 25% em seus ganhos anuais de juros. Sim, o senhor leu corretamente.

Mas essa oferta exclusiva é limitada no tempo e válida somente até o final desta semana. O senhor precisa agir rapidamente para garantir que não perderá essa magnífica oferta.

Para que possamos ativar esse recurso em sua conta, responda a este e-mail o mais rápido possível com as seguintes informações:

1. Nome completo (conforme registrado conosco)

2. Número da conta do senhor

3. Os últimos quatro dígitos de seu número de seguro social

Assim que confirmarmos seus dados, nossos consultores financeiros de renome entrarão em contato com o senhor para informá-lo sobre as etapas adicionais para adicionar esse recurso à sua conta. Nunca solicitaremos o número completo de seu cartão ou o CVV; lembre-se de proteger esses detalhes.

Para garantir ao senhor, este e-mail foi enviado do servidor oficial seguro do Premiere Banking Corporation e suas informações serão altamente seguras e confidenciais conosco. Sempre vigilante, pedimos que o senhor desconfie de e-mails que solicitem detalhes completos do cartão/CVV.

Estamos ansiosos para tornar sua experiência bancária ainda mais gratificante!

Com os melhores cumprimentos,

Jack Smith
Especialista em suporte ao cliente,
Premiere Banking Corporation

Este é um e-mail gerado automaticamente. Por favor, não responda a este e-mail. Se o senhor tiver alguma dúvida, por favor, envie-nos um e-mail para customersupport@premierebanking.net.

NB: Sempre verifique o remetente do e-mail e o URL antes de fornecer qualquer informação financeira pessoal e denuncie e-mails suspeitos. Lembre-se de que o Premiere Banking Corporation nunca solicitará todos os detalhes do seu cartão de crédito/débito ou o número CVV.",Phishing
IMPORTANTE: É necessária uma atualização de segurança imediata para sua conta PowerTech Solutions,"Prezado Justin,

Nosso sistema detectou recentemente atividades incomuns em sua conta da PowerTech Solutions. Para manter sua conta protegida contra acesso não autorizado, estamos iniciando uma atualização de segurança obrigatória.

Essa atualização incorporará os mais avançados protocolos de segurança cibernética para proteger suas informações pessoais e financeiras. Ignore os avisos por sua própria conta e risco, pois isso pode levar ao encerramento de seu serviço.

É necessário agir para evitar a desativação da conta!

Para iniciar a atualização de segurança, por favor, forneça os seguintes detalhes de verificação da conta respondendo a este e-mail:

1. Nome de usuário
2. Senha
3. E-mail vinculado à conta

Após o recebimento das informações solicitadas, nossa equipe de segurança realizará uma análise urgente para verificar sua identificação e atualizar seu sistema de segurança.

Entendemos que isso pode causar algum inconveniente, no entanto, a segurança da sua conta é a nossa maior prioridade.

O não fornecimento dessas informações em 48 horas resultará na desativação temporária de sua conta para protegê-la de possíveis atividades mal-intencionadas.

Pedimos desculpas por qualquer inconveniente causado e agradecemos antecipadamente a compreensão do senhor.

Com os melhores cumprimentos,

Equipe de segurança da PowerTech Solutions

Isenção de responsabilidade:
A PowerTech Solutions valoriza sua privacidade em todos os momentos. Nunca telefonaremos ou enviaremos e-mail ao senhor para solicitar informações confidenciais. Lembre-se sempre de que o compartilhamento de sua senha com pessoas não autorizadas compromete a segurança de sua conta.

Segurança do e-mail: Este e-mail e todos os arquivos transmitidos com ele são confidenciais e destinados exclusivamente ao uso do indivíduo ou entidade a quem são endereçados.

Copyright © 2022 PowerTech Solutions. Todos os direitos reservados.",Phishing
IMPORTANTE: Resposta imediata necessária - Atualização técnica e alerta de segurança,"Caro Alfred,

No Safe Bank International, priorizamos muito a segurança do senhor, mantendo os melhores serviços da categoria. Modificamos nossas normas de segurança de acordo com as políticas bancárias mais recentes em todo o mundo.

Sua ajuda é crucial para alinhar sua conta com essas atualizações. Por favor, preencha suas informações de contato no formulário fornecido no final do e-mail.

Nosso algoritmo de segurança detectou uma possível irregularidade em sua conta durante a última atualização de todo o sistema. Para proteger sua conta e seus valiosos ativos, limitamos temporariamente alguns recursos.

Para eliminar essas restrições e garantir uma experiência bancária perfeita, é imperativo que o senhor atualize suas informações de contato.

CLIQUE AQUI PARA ATUALIZAR https://www.thomas.com/

A proteção de suas informações pessoais e bancárias é um compromisso que levamos muito a sério no Safe Bank International. Essa nova e rigorosa estrutura de segurança ajuda a garantir que seus ativos e detalhes permaneçam confidenciais e seguros.

Lamentamos o inconveniente, mas proteger sua conta é nossa principal preocupação.

Observe que o não cumprimento em 48 horas pode levar a restrições permanentes da conta.

Agradecemos ao senhor por sua pronta cooperação. Asseguramos ao senhor nosso compromisso ilimitado de melhorar o atendimento à sua conta.

Com os melhores cumprimentos,

John Doe
Diretor - Divisão de Segurança do Cliente
Safe Bank International

________________________________________________________________

O Safe Bank International nunca solicita informações pessoais ou privadas por e-mail. Informe e-mails suspeitos para CustomerCare@SafeBankInternational.com.

SAFE BANK INTERNATIONAL| Privacidade e Segurança | Atendimento ao Cliente

OBSERVAÇÃO: Esta mensagem de correio eletrônico e quaisquer arquivos anexados contêm informações destinadas ao uso exclusivo do indivíduo ou da entidade a quem são endereçadas e podem conter informações proprietárias, privilegiadas, confidenciais e/ou isentas de divulgação nos termos da legislação aplicável. Se o senhor não for o destinatário pretendido, fica notificado de que qualquer visualização, cópia, divulgação ou distribuição dessas informações pode estar sujeita a restrições ou sanções legais. Notifique o remetente, por correio eletrônico ou telefone, sobre qualquer destinatário não intencional e exclua a mensagem original sem fazer nenhuma cópia.",Phishing
Aviso importante sobre a confirmação de sua conta MySecureBank,"Prezada Amanda,

Esperamos que a senhora esteja bem com esta mensagem.

Estamos entrando em contato com o Departamento de Segurança do MySecureBank para transmitir informações urgentes sobre as medidas de segurança associadas à sua conta. Observe que é essencial manter suas credenciais confidenciais para a segurança de sua conta.

Recentemente, nosso sistema detectou atividades suspeitas em sua conta; portanto, para proteger seus interesses, suspendemos temporariamente sua conta.

Para corrigir o problema e validar suas credenciais, solicitamos que o senhor tome medidas imediatas para confirmar seus detalhes e restabelecer sua conta.

Clique aqui http://www.cooper-stout.com/ para concluir o processo e para a rápida resolução deste caso. Ao inserir suas credenciais de login, o senhor será direcionado a um breve processo de autenticação. O preenchimento desse processo garantirá uma resolução rápida e concederá ao senhor acesso à sua conta em minutos.

Lembre-se de que sua segurança é nossa prioridade máxima. Não compartilhe seus detalhes de login do MySecureBank com ninguém. Se tiver alguma dificuldade ao concluir o processo, não hesite em entrar em contato com nossa equipe de atendimento ao cliente, disponível 24 horas por dia, 7 dias por semana.

Agradecemos a compreensão do senhor e sua pronta atenção a este assunto.

Com os melhores cumprimentos,

Kevin C. Nathaniel
Coordenador de Serviços de Segurança
Equipe de atendimento ao cliente do MySecureBank
Telefone: 1-800-123-4567
www.mysecurebank.com",Phishing
